Response,Breakdown,Demo,Value
Totals , Resps,(Millennials (Gen Y) (1977-1996) (Age 19-38) AND (Have Personally Used Cannabis for Medical OR Recreational Purposes)),2598
Totals , Resps,(Millennials (Gen Y) (1977-1996) (Age 19-38) AND  Non User ~ When Last Consumed Cannabis - Personally),5629
Totals , Resps,(Gen Z (1997-present) (Age <=18) AND (Have Personally Used Cannabis for Medical OR Recreational Purposes)),320
Totals , Resps,(Gen Z (1997-present) (Age <=18)AND  Non User ~ When Last Consumed Cannabis - Personally),715
Totals , %Col,Totals,100
Totals , %Col,Have Personally Used Cannabis for Medical OR Recreational Purposes,100
Totals , %Col,Non User ~ When Last Consumed Cannabis - Personally,100
Totals , %Col,(Pre Boomers (Prior to 1946) (Age 69+) AND (Have Personally Used Cannabis for Medical OR Recreational Purposes)),100
Totals , %Col,(Pre Boomers (Prior to 1946) (Age 69+) AND  Non User ~ When Last Consumed Cannabis - Personally),100
Totals , %Col,(Boomers (born 1946-1964) (Age 51-68) AND (Have Personally Used Cannabis for Medical OR Recreational Purposes)),100
Totals , %Col,(Boomers (born 1946-1964) (Age 51-68) AND  Non User ~ When Last Consumed Cannabis - Personally),100
Totals , %Col,(Gen X (1965-1976) (Age 39-50) AND (Have Personally Used Cannabis for Medical OR Recreational Purposes)),100
Totals , %Col,(Gen X (1965-1976) (Age 39-50) AND  Non User ~ When Last Consumed Cannabis - Personally),100
Totals , %Col,(Millennials (Gen Y) (1977-1996) (Age 19-38) AND (Have Personally Used Cannabis for Medical OR Recreational Purposes)),100
Totals , %Col,(Millennials (Gen Y) (1977-1996) (Age 19-38) AND  Non User ~ When Last Consumed Cannabis - Personally),100
Totals , %Col,(Gen Z (1997-present) (Age <=18) AND (Have Personally Used Cannabis for Medical OR Recreational Purposes)),100
Totals , %Col,(Gen Z (1997-present) (Age <=18)AND  Non User ~ When Last Consumed Cannabis - Personally),100
Totals , %Row,Totals,100
Totals , %Row,Have Personally Used Cannabis for Medical OR Recreational Purposes,25.288
Totals , %Row,Non User ~ When Last Consumed Cannabis - Personally,65.135
Totals , %Row,(Pre Boomers (Prior to 1946) (Age 69+) AND (Have Personally Used Cannabis for Medical OR Recreational Purposes)),1.536
Totals , %Row,(Pre Boomers (Prior to 1946) (Age 69+) AND  Non User ~ When Last Consumed Cannabis - Personally),6.125
Totals , %Row,(Boomers (born 1946-1964) (Age 51-68) AND (Have Personally Used Cannabis for Medical OR Recreational Purposes)),7.922
Totals , %Row,(Boomers (born 1946-1964) (Age 51-68) AND  Non User ~ When Last Consumed Cannabis - Personally),23.174
Totals , %Row,(Gen X (1965-1976) (Age 39-50) AND (Have Personally Used Cannabis for Medical OR Recreational Purposes)),5.78
Totals , %Row,(Gen X (1965-1976) (Age 39-50) AND  Non User ~ When Last Consumed Cannabis - Personally),14.584
Totals , %Row,(Millennials (Gen Y) (1977-1996) (Age 19-38) AND (Have Personally Used Cannabis for Medical OR Recreational Purposes)),9.338
Totals , %Row,(Millennials (Gen Y) (1977-1996) (Age 19-38) AND  Non User ~ When Last Consumed Cannabis - Personally),19.782
Totals , %Row,(Gen Z (1997-present) (Age <=18) AND (Have Personally Used Cannabis for Medical OR Recreational Purposes)),0.711
Totals , %Row,(Gen Z (1997-present) (Age <=18)AND  Non User ~ When Last Consumed Cannabis - Personally),1.47
Totals , Index,Totals,100
Totals , Index,Have Personally Used Cannabis for Medical OR Recreational Purposes,100
Totals , Index,Non User ~ When Last Consumed Cannabis - Personally,100
Totals , Index,(Pre Boomers (Prior to 1946) (Age 69+) AND (Have Personally Used Cannabis for Medical OR Recreational Purposes)),100
Totals , Index,(Pre Boomers (Prior to 1946) (Age 69+) AND  Non User ~ When Last Consumed Cannabis - Personally),100
Totals , Index,(Boomers (born 1946-1964) (Age 51-68) AND (Have Personally Used Cannabis for Medical OR Recreational Purposes)),100
Totals , Index,(Boomers (born 1946-1964) (Age 51-68) AND  Non User ~ When Last Consumed Cannabis - Personally),100
Totals , Index,(Gen X (1965-1976) (Age 39-50) AND (Have Personally Used Cannabis for Medical OR Recreational Purposes)),100
Totals , Index,(Gen X (1965-1976) (Age 39-50) AND  Non User ~ When Last Consumed Cannabis - Personally),100
Totals , Index,(Millennials (Gen Y) (1977-1996) (Age 19-38) AND (Have Personally Used Cannabis for Medical OR Recreational Purposes)),100
Totals , Index,(Millennials (Gen Y) (1977-1996) (Age 19-38) AND  Non User ~ When Last Consumed Cannabis - Personally),100
Totals , Index,(Gen Z (1997-present) (Age <=18) AND (Have Personally Used Cannabis for Medical OR Recreational Purposes)),100
Totals , Index,(Gen Z (1997-present) (Age <=18)AND  Non User ~ When Last Consumed Cannabis - Personally),100
Medical purposes ~ Have Personally Used Cannabis , Audience(000),Totals,2301.755
Medical purposes ~ Have Personally Used Cannabis , Audience(000),Have Personally Used Cannabis for Medical OR Recreational Purposes,2301.755
Medical purposes ~ Have Personally Used Cannabis , Audience(000),Non User ~ When Last Consumed Cannabis - Personally,**0
Medical purposes ~ Have Personally Used Cannabis , Audience(000),(Pre Boomers (Prior to 1946) (Age 69+) AND (Have Personally Used Cannabis for Medical OR Recreational Purposes)),192.689
Medical purposes ~ Have Personally Used Cannabis , Audience(000),(Pre Boomers (Prior to 1946) (Age 69+) AND  Non User ~ When Last Consumed Cannabis - Personally),**0
Medical purposes ~ Have Personally Used Cannabis , Audience(000),(Boomers (born 1946-1964) (Age 51-68) AND (Have Personally Used Cannabis for Medical OR Recreational Purposes)),820.802
Medical purposes ~ Have Personally Used Cannabis , Audience(000),(Boomers (born 1946-1964) (Age 51-68) AND  Non User ~ When Last Consumed Cannabis - Personally),**0
Medical purposes ~ Have Personally Used Cannabis , Audience(000),(Gen X (1965-1976) (Age 39-50) AND (Have Personally Used Cannabis for Medical OR Recreational Purposes)),456.06
Medical purposes ~ Have Personally Used Cannabis , Audience(000),(Gen X (1965-1976) (Age 39-50) AND  Non User ~ When Last Consumed Cannabis - Personally),**0
Medical purposes ~ Have Personally Used Cannabis , Audience(000),(Millennials (Gen Y) (1977-1996) (Age 19-38) AND (Have Personally Used Cannabis for Medical OR Recreational Purposes)),772.741
Medical purposes ~ Have Personally Used Cannabis , Audience(000),(Millennials (Gen Y) (1977-1996) (Age 19-38) AND  Non User ~ When Last Consumed Cannabis - Personally),**0
Medical purposes ~ Have Personally Used Cannabis , Audience(000),(Gen Z (1997-present) (Age <=18) AND (Have Personally Used Cannabis for Medical OR Recreational Purposes)),59.463
Medical purposes ~ Have Personally Used Cannabis , Audience(000),(Gen Z (1997-present) (Age <=18)AND  Non User ~ When Last Consumed Cannabis - Personally),**0
Medical purposes ~ Have Personally Used Cannabis , Resps,Totals,3420
Medical purposes ~ Have Personally Used Cannabis , Resps,Have Personally Used Cannabis for Medical OR Recreational Purposes,3420
Medical purposes ~ Have Personally Used Cannabis , Resps,Non User ~ When Last Consumed Cannabis - Personally,0
Medical purposes ~ Have Personally Used Cannabis , Resps,(Pre Boomers (Prior to 1946) (Age 69+) AND (Have Personally Used Cannabis for Medical OR Recreational Purposes)),426
Medical purposes ~ Have Personally Used Cannabis , Resps,(Pre Boomers (Prior to 1946) (Age 69+) AND  Non User ~ When Last Consumed Cannabis - Personally),0
Medical purposes ~ Have Personally Used Cannabis , Resps,(Boomers (born 1946-1964) (Age 51-68) AND (Have Personally Used Cannabis for Medical OR Recreational Purposes)),1601
Medical purposes ~ Have Personally Used Cannabis , Resps,(Boomers (born 1946-1964) (Age 51-68) AND  Non User ~ When Last Consumed Cannabis - Personally),0
Medical purposes ~ Have Personally Used Cannabis , Resps,(Gen X (1965-1976) (Age 39-50) AND (Have Personally Used Cannabis for Medical OR Recreational Purposes)),604
Medical purposes ~ Have Personally Used Cannabis , Resps,(Gen X (1965-1976) (Age 39-50) AND  Non User ~ When Last Consumed Cannabis - Personally),0
Medical purposes ~ Have Personally Used Cannabis , Resps,(Millennials (Gen Y) (1977-1996) (Age 19-38) AND (Have Personally Used Cannabis for Medical OR Recreational Purposes)),700
Medical purposes ~ Have Personally Used Cannabis , Resps,(Millennials (Gen Y) (1977-1996) (Age 19-38) AND  Non User ~ When Last Consumed Cannabis - Personally),0
Medical purposes ~ Have Personally Used Cannabis , Resps,(Gen Z (1997-present) (Age <=18) AND (Have Personally Used Cannabis for Medical OR Recreational Purposes)),89
Medical purposes ~ Have Personally Used Cannabis , Resps,(Gen Z (1997-present) (Age <=18)AND  Non User ~ When Last Consumed Cannabis - Personally),0
Medical purposes ~ Have Personally Used Cannabis , %Col,Totals,7.268
Medical purposes ~ Have Personally Used Cannabis , %Col,Have Personally Used Cannabis for Medical OR Recreational Purposes,28.74
Medical purposes ~ Have Personally Used Cannabis , %Col,Non User ~ When Last Consumed Cannabis - Personally,0
Medical purposes ~ Have Personally Used Cannabis , %Col,(Pre Boomers (Prior to 1946) (Age 69+) AND (Have Personally Used Cannabis for Medical OR Recreational Purposes)),39.601
Medical purposes ~ Have Personally Used Cannabis , %Col,(Pre Boomers (Prior to 1946) (Age 69+) AND  Non User ~ When Last Consumed Cannabis - Personally),0
Medical purposes ~ Have Personally Used Cannabis , %Col,(Boomers (born 1946-1964) (Age 51-68) AND (Have Personally Used Cannabis for Medical OR Recreational Purposes)),32.714
Medical purposes ~ Have Personally Used Cannabis , %Col,(Boomers (born 1946-1964) (Age 51-68) AND  Non User ~ When Last Consumed Cannabis - Personally),0
Medical purposes ~ Have Personally Used Cannabis , %Col,(Gen X (1965-1976) (Age 39-50) AND (Have Personally Used Cannabis for Medical OR Recreational Purposes)),24.914
Medical purposes ~ Have Personally Used Cannabis , %Col,(Gen X (1965-1976) (Age 39-50) AND  Non User ~ When Last Consumed Cannabis - Personally),0
Medical purposes ~ Have Personally Used Cannabis , %Col,(Millennials (Gen Y) (1977-1996) (Age 19-38) AND (Have Personally Used Cannabis for Medical OR Recreational Purposes)),26.129
Medical purposes ~ Have Personally Used Cannabis , %Col,(Millennials (Gen Y) (1977-1996) (Age 19-38) AND  Non User ~ When Last Consumed Cannabis - Personally),0
Medical purposes ~ Have Personally Used Cannabis , %Col,(Gen Z (1997-present) (Age <=18) AND (Have Personally Used Cannabis for Medical OR Recreational Purposes)),26.398
Medical purposes ~ Have Personally Used Cannabis , %Col,(Gen Z (1997-present) (Age <=18)AND  Non User ~ When Last Consumed Cannabis - Personally),0
Medical purposes ~ Have Personally Used Cannabis , %Row,Totals,100
Medical purposes ~ Have Personally Used Cannabis , %Row,Have Personally Used Cannabis for Medical OR Recreational Purposes,100
Medical purposes ~ Have Personally Used Cannabis , %Row,Non User ~ When Last Consumed Cannabis - Personally,0
Medical purposes ~ Have Personally Used Cannabis , %Row,(Pre Boomers (Prior to 1946) (Age 69+) AND (Have Personally Used Cannabis for Medical OR Recreational Purposes)),8.371
Medical purposes ~ Have Personally Used Cannabis , %Row,(Pre Boomers (Prior to 1946) (Age 69+) AND  Non User ~ When Last Consumed Cannabis - Personally),0
Medical purposes ~ Have Personally Used Cannabis , %Row,(Boomers (born 1946-1964) (Age 51-68) AND (Have Personally Used Cannabis for Medical OR Recreational Purposes)),35.66
Medical purposes ~ Have Personally Used Cannabis , %Row,(Boomers (born 1946-1964) (Age 51-68) AND  Non User ~ When Last Consumed Cannabis - Personally),0
Medical purposes ~ Have Personally Used Cannabis , %Row,(Gen X (1965-1976) (Age 39-50) AND (Have Personally Used Cannabis for Medical OR Recreational Purposes)),19.814
Medical purposes ~ Have Personally Used Cannabis , %Row,(Gen X (1965-1976) (Age 39-50) AND  Non User ~ When Last Consumed Cannabis - Personally),0
Medical purposes ~ Have Personally Used Cannabis , %Row,(Millennials (Gen Y) (1977-1996) (Age 19-38) AND (Have Personally Used Cannabis for Medical OR Recreational Purposes)),33.572
Medical purposes ~ Have Personally Used Cannabis , %Row,(Millennials (Gen Y) (1977-1996) (Age 19-38) AND  Non User ~ When Last Consumed Cannabis - Personally),0
Medical purposes ~ Have Personally Used Cannabis , %Row,(Gen Z (1997-present) (Age <=18) AND (Have Personally Used Cannabis for Medical OR Recreational Purposes)),2.583
Medical purposes ~ Have Personally Used Cannabis , %Row,(Gen Z (1997-present) (Age <=18)AND  Non User ~ When Last Consumed Cannabis - Personally),0
Medical purposes ~ Have Personally Used Cannabis , Index,Totals,100
Medical purposes ~ Have Personally Used Cannabis , Index,Have Personally Used Cannabis for Medical OR Recreational Purposes,395
Medical purposes ~ Have Personally Used Cannabis , Index,Non User ~ When Last Consumed Cannabis - Personally,0
Medical purposes ~ Have Personally Used Cannabis , Index,(Pre Boomers (Prior to 1946) (Age 69+) AND (Have Personally Used Cannabis for Medical OR Recreational Purposes)),545
Medical purposes ~ Have Personally Used Cannabis , Index,(Pre Boomers (Prior to 1946) (Age 69+) AND  Non User ~ When Last Consumed Cannabis - Personally),0
Medical purposes ~ Have Personally Used Cannabis , Index,(Boomers (born 1946-1964) (Age 51-68) AND (Have Personally Used Cannabis for Medical OR Recreational Purposes)),450
Medical purposes ~ Have Personally Used Cannabis , Index,(Boomers (born 1946-1964) (Age 51-68) AND  Non User ~ When Last Consumed Cannabis - Personally),0
Medical purposes ~ Have Personally Used Cannabis , Index,(Gen X (1965-1976) (Age 39-50) AND (Have Personally Used Cannabis for Medical OR Recreational Purposes)),343
Medical purposes ~ Have Personally Used Cannabis , Index,(Gen X (1965-1976) (Age 39-50) AND  Non User ~ When Last Consumed Cannabis - Personally),0
Medical purposes ~ Have Personally Used Cannabis , Index,(Millennials (Gen Y) (1977-1996) (Age 19-38) AND (Have Personally Used Cannabis for Medical OR Recreational Purposes)),360
Medical purposes ~ Have Personally Used Cannabis , Index,(Millennials (Gen Y) (1977-1996) (Age 19-38) AND  Non User ~ When Last Consumed Cannabis - Personally),0
Medical purposes ~ Have Personally Used Cannabis , Index,(Gen Z (1997-present) (Age <=18) AND (Have Personally Used Cannabis for Medical OR Recreational Purposes)),363
Medical purposes ~ Have Personally Used Cannabis , Index,(Gen Z (1997-present) (Age <=18)AND  Non User ~ When Last Consumed Cannabis - Personally),0
Recreational purposes ~ Have Personally Used Cannabis , Audience(000),Totals,7254.612
Recreational purposes ~ Have Personally Used Cannabis , Audience(000),Have Personally Used Cannabis for Medical OR Recreational Purposes,7254.612
Recreational purposes ~ Have Personally Used Cannabis , Audience(000),Non User ~ When Last Consumed Cannabis - Personally,**0
Recreational purposes ~ Have Personally Used Cannabis , Audience(000),(Pre Boomers (Prior to 1946) (Age 69+) AND (Have Personally Used Cannabis for Medical OR Recreational Purposes)),407.712
Recreational purposes ~ Have Personally Used Cannabis , Audience(000),(Pre Boomers (Prior to 1946) (Age 69+) AND  Non User ~ When Last Consumed Cannabis - Personally),**0
Recreational purposes ~ Have Personally Used Cannabis , Audience(000),(Boomers (born 1946-1964) (Age 51-68) AND (Have Personally Used Cannabis for Medical OR Recreational Purposes)),2162.038
Recreational purposes ~ Have Personally Used Cannabis , Audience(000),(Boomers (born 1946-1964) (Age 51-68) AND  Non User ~ When Last Consumed Cannabis - Personally),**0
Recreational purposes ~ Have Personally Used Cannabis , Audience(000),(Gen X (1965-1976) (Age 39-50) AND (Have Personally Used Cannabis for Medical OR Recreational Purposes)),1683.62
Recreational purposes ~ Have Personally Used Cannabis , Audience(000),(Gen X (1965-1976) (Age 39-50) AND  Non User ~ When Last Consumed Cannabis - Personally),**0
Recreational purposes ~ Have Personally Used Cannabis , Audience(000),(Millennials (Gen Y) (1977-1996) (Age 19-38) AND (Have Personally Used Cannabis for Medical OR Recreational Purposes)),2788.915
Recreational purposes ~ Have Personally Used Cannabis , Audience(000),(Millennials (Gen Y) (1977-1996) (Age 19-38) AND  Non User ~ When Last Consumed Cannabis - Personally),**0
Recreational purposes ~ Have Personally Used Cannabis , Audience(000),(Gen Z (1997-present) (Age <=18) AND (Have Personally Used Cannabis for Medical OR Recreational Purposes)),212.328
Recreational purposes ~ Have Personally Used Cannabis , Audience(000),(Gen Z (1997-present) (Age <=18)AND  Non User ~ When Last Consumed Cannabis - Personally),**0
Recreational purposes ~ Have Personally Used Cannabis , Resps,Totals,10147
Recreational purposes ~ Have Personally Used Cannabis , Resps,Have Personally Used Cannabis for Medical OR Recreational Purposes,10147
Recreational purposes ~ Have Personally Used Cannabis , Resps,Non User ~ When Last Consumed Cannabis - Personally,0
Recreational purposes ~ Have Personally Used Cannabis , Resps,(Pre Boomers (Prior to 1946) (Age 69+) AND (Have Personally Used Cannabis for Medical OR Recreational Purposes)),904
Recreational purposes ~ Have Personally Used Cannabis , Resps,(Pre Boomers (Prior to 1946) (Age 69+) AND  Non User ~ When Last Consumed Cannabis - Personally),0
Recreational purposes ~ Have Personally Used Cannabis , Resps,(Boomers (born 1946-1964) (Age 51-68) AND (Have Personally Used Cannabis for Medical OR Recreational Purposes)),4220
Recreational purposes ~ Have Personally Used Cannabis , Resps,(Boomers (born 1946-1964) (Age 51-68) AND  Non User ~ When Last Consumed Cannabis - Personally),0
Recreational purposes ~ Have Personally Used Cannabis , Resps,(Gen X (1965-1976) (Age 39-50) AND (Have Personally Used Cannabis for Medical OR Recreational Purposes)),2292
Recreational purposes ~ Have Personally Used Cannabis , Resps,(Gen X (1965-1976) (Age 39-50) AND  Non User ~ When Last Consumed Cannabis - Personally),0
Recreational purposes ~ Have Personally Used Cannabis , Resps,(Millennials (Gen Y) (1977-1996) (Age 19-38) AND (Have Personally Used Cannabis for Medical OR Recreational Purposes)),2439
Recreational purposes ~ Have Personally Used Cannabis , Resps,(Millennials (Gen Y) (1977-1996) (Age 19-38) AND  Non User ~ When Last Consumed Cannabis - Personally),0
Recreational purposes ~ Have Personally Used Cannabis , Resps,(Gen Z (1997-present) (Age <=18) AND (Have Personally Used Cannabis for Medical OR Recreational Purposes)),292
Recreational purposes ~ Have Personally Used Cannabis , Resps,(Gen Z (1997-present) (Age <=18)AND  Non User ~ When Last Consumed Cannabis - Personally),0
Recreational purposes ~ Have Personally Used Cannabis , %Col,Totals,22.906
Recreational purposes ~ Have Personally Used Cannabis , %Col,Have Personally Used Cannabis for Medical OR Recreational Purposes,90.583
Recreational purposes ~ Have Personally Used Cannabis , %Col,Non User ~ When Last Consumed Cannabis - Personally,0
Recreational purposes ~ Have Personally Used Cannabis , %Col,(Pre Boomers (Prior to 1946) (Age 69+) AND (Have Personally Used Cannabis for Medical OR Recreational Purposes)),83.792
Recreational purposes ~ Have Personally Used Cannabis , %Col,(Pre Boomers (Prior to 1946) (Age 69+) AND  Non User ~ When Last Consumed Cannabis - Personally),0
Recreational purposes ~ Have Personally Used Cannabis , %Col,(Boomers (born 1946-1964) (Age 51-68) AND (Have Personally Used Cannabis for Medical OR Recreational Purposes)),86.171
Recreational purposes ~ Have Personally Used Cannabis , %Col,(Boomers (born 1946-1964) (Age 51-68) AND  Non User ~ When Last Consumed Cannabis - Personally),0
Recreational purposes ~ Have Personally Used Cannabis , %Col,(Gen X (1965-1976) (Age 39-50) AND (Have Personally Used Cannabis for Medical OR Recreational Purposes)),91.974
Recreational purposes ~ Have Personally Used Cannabis , %Col,(Gen X (1965-1976) (Age 39-50) AND  Non User ~ When Last Consumed Cannabis - Personally),0
Recreational purposes ~ Have Personally Used Cannabis , %Col,(Millennials (Gen Y) (1977-1996) (Age 19-38) AND (Have Personally Used Cannabis for Medical OR Recreational Purposes)),94.302
Recreational purposes ~ Have Personally Used Cannabis , %Col,(Millennials (Gen Y) (1977-1996) (Age 19-38) AND  Non User ~ When Last Consumed Cannabis - Personally),0
Recreational purposes ~ Have Personally Used Cannabis , %Col,(Gen Z (1997-present) (Age <=18) AND (Have Personally Used Cannabis for Medical OR Recreational Purposes)),94.26
Recreational purposes ~ Have Personally Used Cannabis , %Col,(Gen Z (1997-present) (Age <=18)AND  Non User ~ When Last Consumed Cannabis - Personally),0
Recreational purposes ~ Have Personally Used Cannabis , %Row,Totals,100
Recreational purposes ~ Have Personally Used Cannabis , %Row,Have Personally Used Cannabis for Medical OR Recreational Purposes,100
Recreational purposes ~ Have Personally Used Cannabis , %Row,Non User ~ When Last Consumed Cannabis - Personally,0
Recreational purposes ~ Have Personally Used Cannabis , %Row,(Pre Boomers (Prior to 1946) (Age 69+) AND (Have Personally Used Cannabis for Medical OR Recreational Purposes)),5.62
Recreational purposes ~ Have Personally Used Cannabis , %Row,(Pre Boomers (Prior to 1946) (Age 69+) AND  Non User ~ When Last Consumed Cannabis - Personally),0
Recreational purposes ~ Have Personally Used Cannabis , %Row,(Boomers (born 1946-1964) (Age 51-68) AND (Have Personally Used Cannabis for Medical OR Recreational Purposes)),29.802
Recreational purposes ~ Have Personally Used Cannabis , %Row,(Boomers (born 1946-1964) (Age 51-68) AND  Non User ~ When Last Consumed Cannabis - Personally),0
Recreational purposes ~ Have Personally Used Cannabis , %Row,(Gen X (1965-1976) (Age 39-50) AND (Have Personally Used Cannabis for Medical OR Recreational Purposes)),23.208
Recreational purposes ~ Have Personally Used Cannabis , %Row,(Gen X (1965-1976) (Age 39-50) AND  Non User ~ When Last Consumed Cannabis - Personally),0
Recreational purposes ~ Have Personally Used Cannabis , %Row,(Millennials (Gen Y) (1977-1996) (Age 19-38) AND (Have Personally Used Cannabis for Medical OR Recreational Purposes)),38.443
Recreational purposes ~ Have Personally Used Cannabis , %Row,(Millennials (Gen Y) (1977-1996) (Age 19-38) AND  Non User ~ When Last Consumed Cannabis - Personally),0
Recreational purposes ~ Have Personally Used Cannabis , %Row,(Gen Z (1997-present) (Age <=18) AND (Have Personally Used Cannabis for Medical OR Recreational Purposes)),2.927
Recreational purposes ~ Have Personally Used Cannabis , %Row,(Gen Z (1997-present) (Age <=18)AND  Non User ~ When Last Consumed Cannabis - Personally),0
Recreational purposes ~ Have Personally Used Cannabis , Index,Totals,100
Recreational purposes ~ Have Personally Used Cannabis , Index,Have Personally Used Cannabis for Medical OR Recreational Purposes,395
Recreational purposes ~ Have Personally Used Cannabis , Index,Non User ~ When Last Consumed Cannabis - Personally,0
Recreational purposes ~ Have Personally Used Cannabis , Index,(Pre Boomers (Prior to 1946) (Age 69+) AND (Have Personally Used Cannabis for Medical OR Recreational Purposes)),366
Recreational purposes ~ Have Personally Used Cannabis , Index,(Pre Boomers (Prior to 1946) (Age 69+) AND  Non User ~ When Last Consumed Cannabis - Personally),0
Recreational purposes ~ Have Personally Used Cannabis , Index,(Boomers (born 1946-1964) (Age 51-68) AND (Have Personally Used Cannabis for Medical OR Recreational Purposes)),376
Recreational purposes ~ Have Personally Used Cannabis , Index,(Boomers (born 1946-1964) (Age 51-68) AND  Non User ~ When Last Consumed Cannabis - Personally),0
Recreational purposes ~ Have Personally Used Cannabis , Index,(Gen X (1965-1976) (Age 39-50) AND (Have Personally Used Cannabis for Medical OR Recreational Purposes)),402
Recreational purposes ~ Have Personally Used Cannabis , Index,(Gen X (1965-1976) (Age 39-50) AND  Non User ~ When Last Consumed Cannabis - Personally),0
Recreational purposes ~ Have Personally Used Cannabis , Index,(Millennials (Gen Y) (1977-1996) (Age 19-38) AND (Have Personally Used Cannabis for Medical OR Recreational Purposes)),412
Recreational purposes ~ Have Personally Used Cannabis , Index,(Millennials (Gen Y) (1977-1996) (Age 19-38) AND  Non User ~ When Last Consumed Cannabis - Personally),0
Recreational purposes ~ Have Personally Used Cannabis , Index,(Gen Z (1997-present) (Age <=18) AND (Have Personally Used Cannabis for Medical OR Recreational Purposes)),412
Recreational purposes ~ Have Personally Used Cannabis , Index,(Gen Z (1997-present) (Age <=18)AND  Non User ~ When Last Consumed Cannabis - Personally),0
Yesterday ~ When Last Consumed Cannabis - Personally , Audience(000),Totals,2304.814
Yesterday ~ When Last Consumed Cannabis - Personally , Audience(000),Have Personally Used Cannabis for Medical OR Recreational Purposes,2304.814
Yesterday ~ When Last Consumed Cannabis - Personally , Audience(000),Non User ~ When Last Consumed Cannabis - Personally,**0
Yesterday ~ When Last Consumed Cannabis - Personally , Audience(000),(Pre Boomers (Prior to 1946) (Age 69+) AND (Have Personally Used Cannabis for Medical OR Recreational Purposes)),161.895
Yesterday ~ When Last Consumed Cannabis - Personally , Audience(000),(Pre Boomers (Prior to 1946) (Age 69+) AND  Non User ~ When Last Consumed Cannabis - Personally),**0
Yesterday ~ When Last Consumed Cannabis - Personally , Audience(000),(Boomers (born 1946-1964) (Age 51-68) AND (Have Personally Used Cannabis for Medical OR Recreational Purposes)),798.531
Yesterday ~ When Last Consumed Cannabis - Personally , Audience(000),(Boomers (born 1946-1964) (Age 51-68) AND  Non User ~ When Last Consumed Cannabis - Personally),**0
Yesterday ~ When Last Consumed Cannabis - Personally , Audience(000),(Gen X (1965-1976) (Age 39-50) AND (Have Personally Used Cannabis for Medical OR Recreational Purposes)),430.454
Yesterday ~ When Last Consumed Cannabis - Personally , Audience(000),(Gen X (1965-1976) (Age 39-50) AND  Non User ~ When Last Consumed Cannabis - Personally),**0
Yesterday ~ When Last Consumed Cannabis - Personally , Audience(000),(Millennials (Gen Y) (1977-1996) (Age 19-38) AND (Have Personally Used Cannabis for Medical OR Recreational Purposes)),855.387
Yesterday ~ When Last Consumed Cannabis - Personally , Audience(000),(Millennials (Gen Y) (1977-1996) (Age 19-38) AND  Non User ~ When Last Consumed Cannabis - Personally),**0
Yesterday ~ When Last Consumed Cannabis - Personally , Audience(000),(Gen Z (1997-present) (Age <=18) AND (Have Personally Used Cannabis for Medical OR Recreational Purposes)),58.546
